backend,experiment,exp_id,mean_input_tokens,mean_output_tokens,concurrency,model,finished_at,model_copies,model_copy_source,ttft_p50_s,ttft_p95_s,ttft_p99_s,ttft_mean_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,e2e_mean_s,output_tokens_per_s,requests_per_s,num_completed_requests,num_requests_started,error_rate,num_errors,summary_path,gpu_util_mean,gpu_mem_used_mb_mean,gpu_power_w_mean,cpu_pct_mean,ram_pct_mean,billing,billing_label,model_copies_observed,model_copies_used,cost_scope,cost_per_hour_electricity_usd,cost_per_hour_amortized_usd,cost_per_hour_usd,approx_duration_s,normalized_compute_cost_usd,standalone_billed_cost_usd,cell_floor_billed_cost_usd,billed_session_cost_usd,session_wall_s,session_billed_minutes,session_allocated_cost_usd,allocated_session_cost_usd,cost_per_request_normalized_usd,cost_per_request_billed_usd,cost_per_1m_output_tokens_normalized_usd,approx_total_cost_usd,cost_per_request_usd,cost_per_1m_output_tokens_usd
bedrock,concurrency,concurrency_c16_in550_out150,550,150,16,Qwen/Qwen2.5-7B-Instruct,1785117398.247661,,configured_assumption,0.3376546255003632,1.3370580703503945,2.3041881835807905,0.5445376858400778,2.1636421455004893,2.859187612349976,4.129727041919686,2.26890416752005,566.3179325248482,3.179775028213634,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c16_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,15.724382875001538,0.02997067375975293,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.0005994134751950586,0.0016337142857142857,3.996089834633724,0.02997067375975293,0.0005994134751950586,3.996089834633724
bedrock,concurrency,concurrency_c1_in550_out150,550,150,1,Qwen/Qwen2.5-7B-Instruct,1785117254.565269,,configured_assumption,0.3313762919997316,0.5018075036497975,1.562874618919646,0.3928071383000497,2.134228562500539,2.323303141150336,3.2753799836695876,2.187135005840137,81.13460726118612,0.4543828811670369,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c1_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,110.0393568339987,0.20973501412560153,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.00419470028251203,0.0016337142857142857,27.964668550080205,0.20973501412560153,0.00419470028251203,27.964668550080205
bedrock,concurrency,concurrency_c2_in550_out150,550,150,2,Qwen/Qwen2.5-7B-Instruct,1785117316.23807,,configured_assumption,0.2672462704995269,0.5102336564006691,1.7439560152509834,0.334149846699911,2.0926572915004726,2.1907427020504655,3.4822987977504782,2.1496075900000142,160.5888212430624,0.8989522013158442,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c2_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,55.62030987499929,0.10601231062174865,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.002120246212434973,0.0016337142857142857,14.134974749566487,0.10601231062174865,0.002120246212434973,14.134974749566487
bedrock,concurrency,concurrency_c32_in550_out150,550,150,32,Qwen/Qwen2.5-7B-Instruct,1785117418.168253,,configured_assumption,0.3051217709999037,0.4892127247003372,0.5198487224087329,0.3267464575199847,2.148955270999977,2.3059191603508222,2.374365074159523,2.165227773320039,640.917691484155,3.584149935600911,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c32_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,13.950309249999918,0.026589289430499846,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.000531785788609997,0.0016337142857142857,3.545238590733313,0.026589289430499846,0.000531785788609997,3.545238590733313
bedrock,concurrency,concurrency_c4_in550_out150,550,150,4,Qwen/Qwen2.5-7B-Instruct,1785117351.985777,,configured_assumption,0.2762227914990944,0.4511293938997365,2.4689341894201062,0.3651064732599116,2.0911261455003114,2.1498966690496673,4.093004875000297,2.1648015824399773,300.48726986422497,1.681518018266508,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c4_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,29.73503670900027,0.056674979967354516,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.0011334995993470902,0.0016337142857142857,7.556663995647269,0.056674979967354516,0.0011334995993470902,7.556663995647269
bedrock,concurrency,concurrency_c64_in550_out150,550,150,64,Qwen/Qwen2.5-7B-Instruct,1785117438.0286348,,configured_assumption,0.2936816664987418,0.4592867330004992,0.6178397864892754,0.3194638066998959,2.151629145999322,2.3492285809493296,2.4389417868293455,2.174030431720057,647.3692118194901,3.606111919671848,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c64_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,13.86534891699921,0.026427355035800494,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.0005285471007160098,0.0016337142857142857,3.5236473381067324,0.026427355035800494,0.0005285471007160098,3.5236473381067324
bedrock,concurrency,concurrency_c8_in550_out150,550,150,8,Qwen/Qwen2.5-7B-Instruct,1785117376.623708,,configured_assumption,0.2972222295002211,2.40168103545102,2.465219178250554,0.4937479392398382,2.1197470830002203,4.812333610450148,5.297884381420699,2.4499100883598293,478.7940675439656,2.677220239006741,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/bedrock/concurrency_c8_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,cmu,CMU (active copy),1.0,1.0,,0.0,0.0,6.8616,18.676087709000058,0.03559662317335411,0.5718,0.5718,0.5718,299.5181529521942,5.0,0.08168571428571428,0.08168571428571428,0.0007119324634670822,0.0016337142857142857,4.746216423113881,0.03559662317335411,0.0007119324634670822,4.746216423113881
ecs,concurrency,concurrency_c16_in550_out150,550,150,16,Qwen/Qwen2.5-7B-Instruct,1785117088.956856,,configured_assumption,0.5714507080001567,1.221561112650852,1.221662274419559,0.6278499358200134,6.205192729500595,6.286336691450742,6.289244074999769,6.158339320840096,304.46310682606594,1.7035760229748542,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c16_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly (compute-only),1.0,1.0,compute_only,0.0,0.0,1.006,29.35002566700132,0.008201701616945369,0.008201701616945369,0.008201701616945369,0.17691337877511978,633.0896258354187,10.551493763923645,0.02527333982501711,0.02527333982501711,0.00016403403233890737,0.0005054667965003422,1.0935602155927158,0.008201701616945369,0.00016403403233890737,1.0935602155927158
ecs,concurrency,concurrency_c1_in550_out150,550,150,1,Qwen/Qwen2.5-7B-Instruct,1785116775.704722,,configured_assumption,0.2278340414995909,0.2737210910001522,0.3000201751690655,0.2181049541400716,5.29375091700058,5.305317247949461,5.334756858341352,5.276043040040022,33.77410341401965,0.189083548393347,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c1_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly (compute-only),1.0,1.0,compute_only,0.0,0.0,1.006,264.43337045899904,0.07389443630048695,0.07389443630048695,0.07389443630048695,0.17691337877511978,633.0896258354187,10.551493763923645,0.02527333982501711,0.02527333982501711,0.001477888726009739,0.0005054667965003422,9.852591506731592,0.07389443630048695,0.001477888726009739,9.852591506731592
ecs,concurrency,concurrency_c2_in550_out150,550,150,2,Qwen/Qwen2.5-7B-Instruct,1785116920.195143,,configured_assumption,0.1843634585002291,0.3048192647996984,0.3895709248296771,0.2038870299599875,5.306043541499093,5.445220445649284,5.468812104829121,5.317389872460117,64.42992954806014,0.3607094924871803,50,50,0.0,0,/Users/h/Desktop/work/model-serving/qwen-deployment-eval/results/raw/ecs/concurrency_c2_in550_out150/Qwen-Qwen2-5-7B-Instruct_550_150_summary.json,,,,,,hourly,Hourly (compute-only),1.0,1.0,compute_only,0.0,0.0,1.006,138.61570333300006,0.03873538820916613,0.03873538820916613,0.03873538820916613,0.17691337877511978,633.0896258354187,10.551493763923645,0.02527333982501711,0.02527333982501711,0.0007747077641833227,0.0005054667965003422,5.164718427888817,0.03873538820916613,0.0007747077641833227,5.164718427888817
